IG|13012021|1745892|-58303.75|-3.23|1905696|88548.06|1693658.32|3242.46|
IF|13012021|3288698|-110942|-3.26|
II|13012021|740580.19|-23784.75|-3.11|
R|B.DE VENEZUELA|BVL|70000|68010|-1990|-2.84|68000|68010|68010|3|67|4556450||3|
R|B.OCC.DCTO.B.U.|BOU|140|150|10|7.14|150|150|150|4|8979|1346850||1|
R|BCO. CARIBE "A"|ABC.A|1000000|1000000|0|0|1000000|1000000|1000000|1|6|6000000||2|
R|BCO. PROVINCIAL|BPV|2250000|2394000|144000|6.4|2250000|2394000|2348720|21|4061|9537245000||1|
R|BCO.NAC.CREDITO|BNC|19490|17500|-1990|-10.21|17500|20000|18210|23|15863|288919810||3|
R|BOLSA V. CCAS.($)|BVCC|233000|208000|-25000|-10.73|205000|233000|207650|25|20404|4236652040||3|
R|CANTV CLASE (D)|TDV.D|185000|185000|0|0|180010|185020|184870|5|70|12940700||2|
R|CORIMON C.A.|CRM.A|75000|69900|-5100|-6.8|69900|72500|70820|5|170|12027500||3|
R|CORP.IND.ENERGIA|CIE|17000|20000|3000|17.65|17000|20000|18150|3|648|11760000||1|
R|CR.CARABOBO|CCR|10078000|10078000|0|0|10078000|10078000|10078000|1|1|10078000||2|
R|DOMINGUEZ & CIA|DOM|539990|539000|-990|-.18|539000|539000|539000|1|5|2695000||3|
R|ENVASES VZLOS.|ENV|200000|195000|-5000|-2.5|195000|199000|198810|5|129|25647000||3|
R|FAB.N.CEMENTOS|FNC|245000|245000|0|0|245000|245000|245000|2|25|6125000||2|
R|FONDO V.INM.(A)|FVI.A|1200000|1100000|-100000|-8.33|1100000|1100000|1100000|2|6|6600000||3|
R|FONDO V.INM.(B)|FVI.B|840000|840000|0|0|840000|850000|841670|4|30|25250000||2|
R|I.CRECEPYMES -B-|ICP.B|62750|62000|-750|-1.2|62000|62000|62000|1|30|1860000||3|
R|INM.VAL.Y CAP.|IVC|827000|840000|13000|1.57|840000|840000|840000|1|5|4200000||1|
R|MANPA, C.A. SACA|MPA|113000|110000|-3000|-2.65|110000|113000|110270|7|455|50173000||3|
R|MERCANTIL S.(A)|MVZ.A|2600000|2310000|-290000|-11.15|2310000|2510000|2465590|16|844|2080959040||3|
R|MERCANTIL S.(A)|MVZAO|2170000|2400000|230000|10.6|0|0|0|37|508943|1221463200000||2|
R|MERCANTIL S.(B)|MVZ.B|2600000|2399000|-201000|-7.73|2310000|2600000|2404170|21|807|1940163000||3|
R|MERCANTIL S.(B)|MVZBO|2170000|2400000|230000|10.6|0|0|0|33|4534|10881600000||2|
R|PROAGRO|PGR|22000|22000|0|0|22000|22000|22000|1|100|2200000||2|
R|PROTINAL|PTN|60470|60470|0|0|60470|60470|60470|1|30|1814100||2|
R|R.S.TERESA "B"|RST.B|595000|522000|-73000|-12.27|522000|579000|557630|2|8|4461000||3|
R|RON STA. TERESA|RST|595000|568000|-27000|-4.54|568000|599000|577850|9|179|103105960||3|
P|B.DE VENEZUELA|BVL||68010|||68000|68010|68010|2|39392|1930208000||
P|BCO. PROVINCIAL|BPV||2394000|||2250000|2394000|2348720|3|26130|41173130000||
P|BCO.NAC.CREDITO|BNC||17500|||17500|20000|18210|2|7181766|98031105900||
P|BOLSA V. CCAS.|BVCC||208000|||205000|233000|207650|3|6000|1200000000||
P|DOMINGUEZ & CIA|DOM||539000|||539000|539000|539000|2|73330|27718740000||
P|ENVASES VZLOS.|ENV||195000|||195000|199000|198810|4|68962|9732796000||
P|FONDO V.INM.(A)|FVI.A||1100000|||1100000|1100000|1100000|2|2388|2005920000||
P|FONDO V.INM.(B)|FVI.B||840000|||840000|850000|841670|2|93608|55041504000||
P|GRUPO ZULIANO|GZL||1050000|||0|0|0|2|91806|67477410000||
P|R.S.TERESA "B"|RST.B||522000|||522000|579000|557630|2|5142|3340757400||
VT|6|13|7|
TX|(*) PRECIO DE CIERRE OFICIAL : Proviene del Mercado de Ordenes, cuyo periodo de liquidacion este previamente definido(T+2).|
TX|(#) PRECIOS MINIMOS Y MAXIMOS: Corresponden a los precios maximos y minimos  de operaciones regulares a dos (2) dias.|
TC|Tasa de Cambio del dia BsF/US$ #########|
DV|(&)CX072P-Colocacion Primaria de Calox international, Em. 2020-VII, serie II|
DV|(&)CX082P-Colocacion Primaria de Calox International, Em. 2020-VIII, Serie II|
BP|PC CALOX 20-7 2P|CX072P|78.57|78.57|0|0|78.57|78.57||28|25000000000|19642500000||
BP|PC CALOX 20-8 2P|CX082P|78.57|78.57|0|0|78.57|78.57||28|25000000000|19642500000||
BP|PC FEMSA  202-1P|CF021P|77|77|0|0|77|77||8|6409029022|4934952346.94||
BP|STERITEX 20-1-5P|SR015P|78.57|78.57|0|0|78.57|78.57||2|1850000000|1453545000||
BP|STERITEX 20-2-5P|SR025P|78.57|78.57|0|0|78.57|78.57||6|5000000000|3928500000||
CC|BANCO DE VENEZUELA, S.A. BCO.UNIVERSAL|68010|73490|
CC|BANCO DEL CARIBE,C.A.BCO.UNIV.CLASE (A)|800010|1000000|
CC|BANCO NACIONAL DE CREDITO,C.A.BCO.UNIV.|16000|17500|
CC|BANCO PROVINCIAL, S.A. BCO. UNIVERSAL|2350000|2394000|
CC|BCO.OCC.DE DESCUENTO, BCO. UNIVERSAL|140|150|
CC|BOLSA DE VALORES DE CARACAS, C.A.|210000|220000|
CC|C.A. RON SANTA TERESA|477000|570000|
CC|C.A. RON SANTA TERESA (CLASE B)|476000|522000|
CC|C.A. TELARES DE PALO GRANDE|2700||
CC|C.A.NAC.TELF.VZLA. (CANTV) CLASE (D)|185000|200000|
CC|CERAMICA CARABOBO, SACA|8063000|10075000|
CC|CORIMON, C.A.|60500|70000|
CC|CORP. INDUSTRIAL DE ENERGIA CA SACA|17010|20000|
CC|CORP.GRUPO QUIMICO, C.A.||849990|
CC|DOMINGUEZ & CIA., S.A.|380000|538000|
CC|ENVASES VENEZOLANOS S.A.|165000|198990|
CC|FABRICA NACIONAL DE CEMENTOS, C.A.||245000|
CC|FONDO DE VALORES INMOB.,SACA. CLASE (A)|961000|1100000|
CC|FONDO DE VALORES INMOB.,SACA. CLASE (B)|675000|840000|
CC|GRUPO ZULIANO, C.A.||1120000|
CC|INVACA,INMUEBLES,VALORES Y CAPITALES,||899990|
CC|INVERSIONES CRECEPYMES, C.A. CLASE "B"|50210|62000|
CC|MANUFACTURAS DE PAPEL,C.A.(MANPA) SACA.|110000|113500|
CC|MERCANTIL SERV. FINANCIEROS C.A. CLS.(A)|2310000|2599000|
CC|MERCANTIL SERV. FINANCIEROS C.A. CLS.(B)|2320000|2400000|
CC|PROAGRO C.A.|22010|24000|
CC|PRODUCTOS EFE S.A.|95210|125000|
CC|PROTINAL C.A.|60470|72550|
CC|SIVENSA, S.A|153000|163990|
NO|BOLSA DE VALORES DE CARACAS, C.A.|La Bolsa de Valores de Caracas, en su carácter institucional, informa a los Miembros de la Bolsa de Valores de Caracas:<BR>							<BR>UNIDAD BURSÁTIL CARACAS  13/01/2021: 		 1,146 					<BR>UNIDAD BURSÁTIL CARACAS (UBC) en Bolivares Bs. 		1.681.880,30			<BR>|
